"","num_id","s_id","E.Coli","Phosphorus","Nitrogen","dominant_landcover","Longitude","Latitude","Trend","percent_annual_change","Turbidity"
"139",139,"EBOP-00012",117,119,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"140",140,"EBOP-00012",108,119,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"141",141,"EBOP-00012",108,249,243,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"142",142,"EBOP-00012",108,110,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"143",143,"EBOP-00012",117,119,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"144",144,"EBOP-00012",108,119,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"145",145,"EBOP-00012",247,249,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"146",146,"EBOP-00012",108,249,119,"Pastoral",176.331334024599,-38.04374524973,"Improving",">2% improving",119
"147",147,"EBOP-00012",247,110,110,"Pastoral",176.331334024599,-38.04374524973,"Improving","0-1% improving",119
"148",148,"EBOP-00013",117,117,116,"Pastoral",176.071591486741,-37.7607959884461,"Indeterminate","0-1% worsening",115
"149",149,"EBOP-00019",116,118,118,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"150",150,"EBOP-00019",116,247,101,"Pastoral",176.264682382987,-38.1556950047245,"Indeterminate","0-1% worsening",117
"151",151,"EBOP-00019",244,247,101,"Pastoral",176.264682382987,-38.1556950047245,"Indeterminate","0-1% worsening",117
"152",152,"EBOP-00019",244,247,118,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"153",153,"EBOP-00019",244,118,101,"Pastoral",176.264682382987,-38.1556950047245,"Indeterminate","0-1% worsening",117
"154",154,"EBOP-00019",244,247,238,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"155",155,"EBOP-00019",244,101,238,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"156",156,"EBOP-00019",244,101,118,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"157",157,"EBOP-00019",116,118,238,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"158",158,"EBOP-00019",116,247,238,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"159",159,"EBOP-00019",116,101,118,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"160",160,"EBOP-00019",116,101,101,"Pastoral",176.264682382987,-38.1556950047245,"Indeterminate","0-1% worsening",117
"161",161,"EBOP-00019",244,118,238,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"162",162,"EBOP-00019",116,118,101,"Pastoral",176.264682382987,-38.1556950047245,"Indeterminate","0-1% worsening",117
"163",163,"EBOP-00019",244,101,101,"Pastoral",176.264682382987,-38.1556950047245,"Indeterminate","0-1% worsening",117
"164",164,"EBOP-00019",244,118,118,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"165",165,"EBOP-00019",116,101,238,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"166",166,"EBOP-00019",116,247,118,"Pastoral",176.264682382987,-38.1556950047245,"Improving","1-2% improving",117
"167",167,"EBOP-00025",39,39,39,"Exotic forest",176.738648828543,-38.0265092686686,"Improving",">2% improving",39
"168",168,"EBOP-00026",114,114,114,"Pastoral",175.911020375883,-37.5847619315192,"Indeterminate","0-1% improving",112
"169",169,"EBOP-00037",114,114,114,"Pastoral",176.094403671783,-37.6992169435331,"Improving","1-2% improving",114
"170",170,"EBOP-00042",108,110,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"171",171,"EBOP-00042",117,237,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"172",172,"EBOP-00042",238,118,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"173",173,"EBOP-00042",238,237,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"174",174,"EBOP-00042",108,118,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"175",175,"EBOP-00042",108,237,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"176",176,"EBOP-00042",238,110,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"177",177,"EBOP-00042",238,118,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"178",178,"EBOP-00042",117,110,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"179",179,"EBOP-00042",108,110,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"180",180,"EBOP-00042",108,110,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"181",181,"EBOP-00042",238,237,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"182",182,"EBOP-00042",117,237,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"183",183,"EBOP-00042",117,110,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"184",184,"EBOP-00042",238,110,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"185",185,"EBOP-00042",108,118,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"186",186,"EBOP-00042",117,110,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"187",187,"EBOP-00042",117,237,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"188",188,"EBOP-00042",108,118,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"189",189,"EBOP-00042",108,237,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"190",190,"EBOP-00042",238,237,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"191",191,"EBOP-00042",108,237,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"192",192,"EBOP-00042",238,110,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"193",193,"EBOP-00042",117,118,118,"Native",176.983869308258,-38.0488160210074,"Worsening","1-2% worsening",118
"194",194,"EBOP-00042",117,118,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"195",195,"EBOP-00042",117,118,110,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"196",196,"EBOP-00042",238,118,233,"Native",176.983869308258,-38.0488160210074,"Improving","1-2% improving",118
"197",197,"EBOP-00044",84,117,84,"Native",177.284213895174,-38.0929200300549,"Improving",">2% improving",117
"198",198,"EBOP-00044",116,117,117,"Native",177.284213895174,-38.0929200300549,"Indeterminate","0-1% improving",117
"199",199,"EBOP-00044",84,84,117,"Native",177.284213895174,-38.0929200300549,"Indeterminate","0-1% improving",117
"200",200,"EBOP-00044",116,84,117,"Native",177.284213895174,-38.0929200300549,"Indeterminate","0-1% improving",117
"201",201,"EBOP-00044",116,117,84,"Native",177.284213895174,-38.0929200300549,"Improving",">2% improving",117
"202",202,"EBOP-00044",84,84,84,"Native",177.284213895174,-38.0929200300549,"Improving",">2% improving",117
"203",203,"EBOP-00044",116,84,84,"Native",177.284213895174,-38.0929200300549,"Improving",">2% improving",117
"204",204,"EBOP-00044",84,117,117,"Native",177.284213895174,-38.0929200300549,"Indeterminate","0-1% improving",117
"205",205,"EBOP-00045",116,116,116,"Exotic forest",177.632294880597,-37.8636965795139,"Indeterminate","1-2% improving",116
"206",206,"EBOP-00048",120,120,120,"Exotic forest",176.69768552677,-38.4601551204011,"Indeterminate","0-1% worsening",120
"207",207,"EBOP-00049",120,120,119,"Exotic forest",176.800003428746,-38.0400378942047,"Worsening","1-2% worsening",120
"208",208,"EBOP-00050",120,120,120,"Exotic forest",176.766690971962,-37.9414091255637,"Improving","1-2% improving",120
"209",209,"EBOP-00053",120,120,120,"Native",176.747577277343,-38.4798169932264,"Indeterminate","0-1% worsening",120
"210",210,"EBOP-00057",111,113,113,"Pastoral",176.363800997398,-37.7934217549296,"Improving","1-2% improving",113
"211",211,"ECAN-00001",40,40,40,"Pastoral",169.97260986077,-44.4586301907871,"Worsening",">2% worsening",40
"212",212,"ECAN-00002",40,40,40,"Pastoral",170.037831854473,-44.4652166189312,"Indeterminate",">2% worsening",40
"213",213,"ECAN-00003",39,39,39,"Pastoral",170.680355669389,-44.5092472731712,"Worsening","1-2% worsening",39
"214",214,"ECAN-00007",38,38,38,"Pastoral",170.07036660935,-44.3045802099325,"Worsening",">2% worsening",38
"215",215,"ECAN-00008",40,40,40,"Pastoral",170.675748147957,-44.5088735237057,"Indeterminate","0-1% worsening",40
"216",216,"ECAN-00010",40,40,40,"Pastoral",170.635451651469,-44.5979984596371,"Indeterminate",">2% worsening",40
"217",217,"ECAN-00014",40,40,40,"Pastoral",171.737127472654,-43.9094403266989,"Indeterminate","1-2% worsening",40
"218",218,"ECAN-00014",40,40,84,"Pastoral",171.737127472654,-43.9094403266989,"Indeterminate","0-1% worsening",40
"219",219,"ECAN-00014",40,81,84,"Pastoral",171.737127472654,-43.9094403266989,"Indeterminate","0-1% worsening",40
"220",220,"ECAN-00014",40,81,40,"Pastoral",171.737127472654,-43.9094403266989,"Indeterminate","1-2% worsening",40
"221",221,"ECAN-00018",40,80,83,"Pastoral",171.69993636481,-43.8677111385422,"Worsening","1-2% worsening",40
"222",222,"ECAN-00018",40,80,40,"Pastoral",171.69993636481,-43.8677111385422,"Indeterminate","1-2% worsening",40
"223",223,"ECAN-00018",40,40,83,"Pastoral",171.69993636481,-43.8677111385422,"Worsening","1-2% worsening",40
"224",224,"ECAN-00018",40,40,40,"Pastoral",171.69993636481,-43.8677111385422,"Indeterminate","1-2% worsening",40
"225",225,"ECAN-00020",40,81,84,"Native",171.531915388712,-43.6052262197146,"Improving",">2% improving",40
"226",226,"ECAN-00020",40,40,40,"Native",171.531915388712,-43.6052262197146,"Indeterminate","0-1% worsening",40
"227",227,"ECAN-00020",40,81,40,"Native",171.531915388712,-43.6052262197146,"Indeterminate","0-1% worsening",40
"228",228,"ECAN-00020",40,40,84,"Native",171.531915388712,-43.6052262197146,"Improving",">2% improving",40
"229",229,"ECAN-00025",38,38,82,"Native",171.402060520044,-44.0514690044789,"Improving",">2% improving",38
"230",230,"ECAN-00025",38,38,38,"Native",171.402060520044,-44.0514690044789,"Improving",">2% improving",38
"231",231,"ECAN-00025",38,79,38,"Native",171.402060520044,-44.0514690044789,"Improving",">2% improving",38
"232",232,"ECAN-00025",38,79,82,"Native",171.402060520044,-44.0514690044789,"Improving",">2% improving",38
"233",233,"ECAN-00026",39,39,83,"Native",171.300230031093,-43.9746259221782,"Improving",">2% improving",39
"234",234,"ECAN-00026",39,80,39,"Native",171.300230031093,-43.9746259221782,"Indeterminate","0-1% worsening",39
"235",235,"ECAN-00026",39,80,83,"Native",171.300230031093,-43.9746259221782,"Improving",">2% improving",39
"236",236,"ECAN-00026",39,39,39,"Native",171.300230031093,-43.9746259221782,"Indeterminate","0-1% worsening",39
"237",237,"ECAN-00027",40,40,40,"Pastoral",171.263151275896,-44.2107304916504,"Indeterminate","0-1% worsening",40
"238",238,"ECAN-00028",40,40,40,"Pastoral",171.300172253989,-44.2492480160812,"Indeterminate","0-1% improving",40
"239",239,"ECAN-00034",40,40,40,"Pastoral",171.267726230644,-44.2447220444745,"Indeterminate","0-1% worsening",40
"240",240,"ECAN-00036",40,40,40,"Pastoral",171.26409994899,-44.1263316329346,"Worsening",">2% worsening",40
"241",241,"ECAN-00038",40,73,40,"Pastoral",171.165279198619,-44.003454195601,"Worsening",">2% worsening",40
"242",242,"ECAN-00038",40,40,75,"Pastoral",171.165279198619,-44.003454195601,"Indeterminate","0-1% worsening",40
"243",243,"ECAN-00038",40,40,40,"Pastoral",171.165279198619,-44.003454195601,"Worsening",">2% worsening",40
"244",244,"ECAN-00038",40,73,75,"Pastoral",171.165279198619,-44.003454195601,"Indeterminate","0-1% worsening",40
"245",245,"ECAN-00040",40,80,40,"Pastoral",171.113256294587,-44.2454206898098,"Indeterminate",">2% improving",40
"246",246,"ECAN-00040",40,80,83,"Pastoral",171.113256294587,-44.2454206898098,"Worsening",">2% worsening",40
"247",247,"ECAN-00040",40,40,40,"Pastoral",171.113256294587,-44.2454206898098,"Indeterminate",">2% improving",40
"248",248,"ECAN-00040",40,40,83,"Pastoral",171.113256294587,-44.2454206898098,"Worsening",">2% worsening",40
